timestamp,episode,reward,avg10,avg100,total_steps,learning_rate,num_envs,alpha,actor_param_norm,critic1_param_norm,critic2_param_norm,log_dir
2025-12-27T16:19:38,1,-128.1678472906351,-128.1678472906351,-128.1678472906351,1568,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,2,-129.52625305950642,-128.84705017507076,-128.84705017507076,1632,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,3,-129.7303690612316,-129.14148980379105,-129.14148980379105,1632,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,4,-143.69784599542618,-132.78057885169983,-132.78057885169983,1824,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,5,-146.1868620812893,-135.46183549761773,-135.46183549761773,1856,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,6,-123.3475494235754,-133.44278781861067,-133.44278781861067,1888,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,7,-130.5923931747675,-133.03558858377593,-133.03558858377593,1984,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,8,-128.41528142988682,-132.4580501895398,-132.4580501895398,2016,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,9,-119.92425203882158,-131.0654059505711,-131.0654059505711,2016,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:38,10,-158.19512271881104,-133.7783776273951,-133.7783776273951,2048,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
2025-12-27T16:19:39,11,-126.40166066586971,-133.60175896491856,-133.10776699452916,2112,0.0001,32,1.0,23.33764386549592,21.370019502937794,21.438161358237267,run_20251227_161924
